Authors;Title;Publication;Volume;Number;Pages;Year;Publisher;Abstract;Keywords;Links;DOI
"Zhao, Hongjiang; Coffie, Cephas PK; ";Swapping the underlying technology of crowdfunding contracts for blockchain-the perspective of Roger's five perceived attributes of innovation;Research Article;;;;2018;;Blockchain is projected to become essential in crowdfunding. However, diffusing this innovation in crowdfunding contracts raises practical concerns. Consequently, using data from a semi-systematic review, we develop a framework focusing on crowdfunding parties and the five perceived attributes of innovation diffusion to evaluate the possibility of diffusion in crowdfunding. Employing thematic analysis, we identify two possible modes for blockchain application in crowdfunding. Results indicate the technology offers superior relative advantage and compatibility for contracting parties. Nonetheless, fundraisers and investors could have potential diffusion complexities because of limited knowledge. Platforms face uncertainties over the degree of mediation and regulatory compliance. Further, trialability and observability issues cast doubts on the potential switch. Therefore, advanced stakeholder engagement and blockchain regulatory reform is required to expedite this switch.;"Blockchain; crowdfunding; innovation; fundraisers; investors; platforms";https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3133176_code1929526.pdf?abstractid=3133176&mirid=1;
"Yadav, Nikhil; Sarasvathi, V; ";Venturing crowdfunding using smart contracts in blockchain;2020 Third International Conference on Smart Systems and Inventive Technology (ICSSIT);;;192-197;2020;IEEE;Crowd funding is an online cash raising technique that started as a path for the people to contribute limited quantity of money to enable innovative individuals to fund the venture. Using crowdfunding, people can put resources into pioneering businesses through a middle medium or platform. The issue with the current crowd funding technique is that, third party medium don't give the assurance of the money investor contributed for the project and investor don't have control over the cash they contributed. This paper proposes the blockchain based crowd funding by using which the platform can give a private, secure and decentralized path for crowdfunding. The main objective of this paper is to let investors contribute to any project effectively by creating smart contracts through which the contributors can have a control over the invested money and also both the project creators and investors can effectively make and reserve funding for the project.;"Ethereum; smart contracts; crowdfunding";https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9214295;
"Pandey, Shivansh; Goel, Shivam; Bansla, Subodh; Pandey, Dhiraj; ";Crowdfunding fraud prevention using blockchain;2019 6th International Conference on Computing for Sustainable Global Development (INDIACom);;;1028-1034;2019;IEEE;Online crowdfunding enables people to raise funds for their project. People who are interested in a project can donate by making an online transaction. The donated money goes to the project manager, which he uses to complete the project or to make a product. This existing method of online crowdfunding has a major drawback. It does not allow contributors to have control over the money they have contributed. Since in the existing method the project manager has all the control over the money contributed he can very easily perform malicious activities. Here we address this problem faced by the existing online crowdfunding platforms by using ethereum network and smart contract. The development of Blockchain technology has allowed businesses to build decentralized models. It has derived new methods to conduct transactions and make agreements. One of the technologies that propose an alternative to the traditional model is the smart contract. A smart contract is similar to a contract in the physical world, but it is digital and represented by a tiny computer program stored in a blockchain. These smart contracts can be used to implement logic. A method has been proposed here that uses smart contract to manage all the activities performed in a crowdfunding campaign. The proposed method has been implemented and its various features are tested by funding campaigns on rinkeby test network.;"Blockchain; Crowdfunding; Ethereum; Smart Contracts; Solidity";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8991341;
"Gebert, Michael; ";Application of blockchain technology in crowdfunding;New European;18;;;2017;;;;https://www.researchgate.net/profile/Michael-Gebert-2/publication/318307115_APPLICATION_OF_BLOCKCHAIN_TECHNOLOGY_IN_CROWDFUNDING/links/5961b927a6fdccc9b1298dac/APPLICATION-OF-BLOCKCHAIN-TECHNOLOGY-IN-CROWDFUNDING.pdf;
"Sahdev, Navroop K; ";Crowdfunding meets blockchain;Available at SSRN 3047682;;;;2017;;"Blockchain, the technology behind Bitcoin, promises to be nothing less than Internet 2.0. The financial services industry, in particular, is preparing for the disruption blockchain/distributed ledger technology promises to cause. In the current business environment, the majority of startups and small businesses have to look for alternative sources of funding given that ?going public? is increasingly expensive. The crowdfunding space has seen tremendous growth as an alternative way to raise capital by businesses. However, these crowdfunded shares cannot be traded for 7-10 years on average on any given platform in the U.S. currently.

To build a trading platform on the blockchain which is completely P2P, immutable, fully transparent and low cost presents some key design issues. In particular, the issue of liquidity - and price discovery - on the blockchain continues to be a puzzle. At the same time, the proposition of removing middlemen from equities trading is a very attractive one, streamlining the process of capital formation with higher market efficiency.

The current paper addresses the following key questions: How can a DLT trading platform ensure adequate liquidity? What would be the process of price discovery? While some recent studies hail blockchain technology as a boom for market liquidity, it is not immediately clear what the impact of P2P trading would be on the prices of various stocks. There are no ?solutions? just yet. At the same time, the lack of regulation around trading on the blockchain creates an environment of uncertainty for all players.

In particular, the implementation of such a platform can revolutionize capital formation and build robust markets in both developing and developed countries where crowdfunding has proven to be a successful model. While my research is targeted at solving a very specific pain point for both researchers and companies working on distributed ledger technology, ultimately, it would be a significant step forward towards onboarding underserved communities across the world who don?t have access to financial services.";;https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3047682_code2635527.pdf?abstractid=3047682&mirid=1;
"Yu, Chunxia; Leng, Yi; Li, Jing; Yu, Jiacheng; ";Blockchain crowdfunding projects evaluation using GRA-TOPSIS;Kybernetes;;;;2020;Emerald Publishing Limited;"Purpose
This paper aims to propose a novel blockchain crowdfunding projects evaluation approach using extended techniques for order preferences by similarity to ideal solution (TOPSIS) under fuzzy environment.

Design/methodology/approach
By analyzing the characteristics and operation process of blockchain crowdfunding model, this paper formulates the evaluation index system from three dimensions of human resources, capital and publicity. In addition, the entropy method is used to calculate the weight of each indicator to avoid subjective judgments; different alternatives are evaluated using the grey correlation analysis (GRA) and TOPSIS-integrated method which considers the distance and similarity between alternatives simultaneously.

Findings
By analyzing the characteristics and operation process of blockchain crowdfunding model, this paper formulates the evaluation index system from three dimensions of human resources, capital and publicity. In addition, the entropy method is used to calculate the weight of each indicator to avoid subjective judgments; different alternatives are evaluated using the GRA and TOPSIS-integrated method which considers the distance and similarity between alternatives simultaneously.

Originality/value
Blockchain crowdfunding has become a new model for fund-raisers to raise funds from public investors. This paper proposes a novel blockchain crowdfunding projects evaluation approach using extended TOPSIS under fuzzy environment.";"Evaluation; TOPSIS; Crowdfunding; GRA; Blockchain technology";https://www.emerald.com/insight/content/doi/10.1108/K-02-2020-0067/full/pdf?title=blockchain-crowdfunding-projects-evaluation-using-gra-topsis;
"Saadat, M Nazmus; Halim, S Abdul; Osman, Husna; Nassr, R Mohammad; Zuhairi, Megat F; ";Blockchain based crowdfunding systems;Indonesian Journal of Electrical Engineering and Computer Science;15;1;409-413;2019;;Initially, blockchain is only used as a foundation of cryptocurrency, but today, we can see the rise of this new emerging technology are being implemented in many industries. In the future, most technologies around the world are expected to use blockchain as an efficient way to make online transactions. One of the areas that blockchain technologies can be applied is crowdfunding platforms. The most common problem with current crowdfunding scene in around the world including is that the campaigns are not regulated and some of the crowd-funding campaign turned out to be fraud. Besides, the completion of some projects also was significantly delayed. This project aims to solve these problems by applying Ethereum smart contracts to the crowdfunding site to that the contracts will be fully automatically executed, thus preventing frauds and ensuring that the projects can be delivered within duration given.;"Blockchain; Crowdfunding; Malaysia; Smart contracts";https://pdfs.semanticscholar.org/f9e0/70e981f30907e15556fc7959f5aeb7eeb969.pdf;
"Saadat, Md Nazmus; Rahman, Syed Abdul Halim Syed Abdul; Nassr, Rasheed Mohammad; Zuhiri, Megat F; ";Blockchain based crowdfunding systems in Malaysian Perspective;Proceedings of the 2019 11th International Conference on Computer and Automation Engineering;;;57-61;2019;;Blockchain was only used as a foundation of cryptocurrency initially, but today, we can see the rise of this new emerging technology being implemented in many industries. In the future, most technologies around the world are expected to use blockchain as an efficient way to make online transactions. One of the areas that blockchain technologies can be applied is crowdfunding platforms. The most common problem with current crowdfunding scene in Malaysia (and around the world) is that the campaigns are not regulated and some of the crowd-funding campaign turned out to be fraud. Besides, the completion of some projects also was significantly delayed. This project aims to solve these problems by applying Ethereum smart contracts to the crowdfunding site to that the contracts will be fully automatically executed, thus preventing frauds and ensuring that the projects can be delivered within duration given.;"Blockchain; crowdfunding; Ethereum; smart contracts, Intelligent Information Systems";https://dl.acm.org/doi/pdf/10.1145/3313991.3313999;
"Bracamonte, Vanessa; Okada, Hitoshi; ";An exploratory study on the influence of guidelines on crowdfunding projects in the ethereum blockchain platform;International conference on social informatics;;;347-354;2017;Springer;In 2016, the DAO, a project which had raised $150 million in token sales in a crowdfunding campaign carried out on the Ethereum blockchain, was hacked using a vulnerability in its code. As part of the response to the incident, the Ethereum Foundation issued two guidelines: a security measure and a value limit. However, the characteristics of decentralized blockchain platforms make it difficult to establish or enforce new rules. In this paper, we investigate whether these guidelines had any influence on subsequent crowdfunding projects, by qualitatively analyzing the information provided by the projects? organizers. The results indicate that the Ethereum Foundation guidelines had some, although limited, influence on how the projects were conducted, in particular with regard to setting a value limit to the campaigns. They also provide some evidence of the influence of the community in the implementation and improvement of security measures related to the smart contracts. We discuss these results in the context of the challenges of governance of crowdfunding projects running in public blockchain platforms.;"Blockchain technology; Crowdfunding; Governance; Self-regulation";;https://doi.org/10.1007/978-3-319-67256-4_27
"Stekli, Joseph; Cali, Umit; ";Potential impacts of blockchain based equity crowdfunding on the economic feasibility of offshore wind energy investments;Journal of Renewable and Sustainable Energy;12;5;53307;2020;AIP Publishing LLC;This paper explores the potential to reduce the levelized cost of electricity (LCOE) of offshore wind technology through the use of digitalized financial innovations made possible by Distributed Ledger Technology (DLT). Specifically, this paper proposed a novel application of DLT to crowdsource project finance for clean energy projects. An introduction to DLT technology and some of its potential applications is provided first. Next, the potential to move from a more centralized, top-down energy system to a more decentralized, two-way transactive energy system enabled by DLT is discussed. Within this new energy system framework, the idea of crowd-sourced equity funding of the capital cost of renewable energy is introduced. The impact of crowdfunded equity on the LCOE is then explored via the creation of a theoretical offshore wind installation off the coast of New Jersey. An existing offshore wind capital cost model is modified for use in the U.S., and an existing wind annual energy production model is utilized to provide inputs into a LCOE model. Finally, the potential impacts that DLT based crowdfunded equity may have on cost of debt, debt tenor, and debt-to-equity ratio are also input into the LCOE model in order to examine the range of potential impacts it may have on offshore wind LCOE.;;https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/11250/2733259/Cali-Potential+impacts+of+blockchain.pdf?sequence=2;
"Coffie, Cephas Paa Kwasi; Zhao, Hongjiang; ";Swapping the underlying technology of crowdfunding contracts for blockchain?the perspective of Roger's five perceived attributes of innovation;Technology Analysis & Strategic Management;;;Jan 15;2021;Taylor & Francis;Blockchain is projected to become essential in crowdfunding. However, diffusing this innovation in crowdfunding contracts raises practical concerns. Consequently, using data from a semi-systematic review, we develop a framework focusing on crowdfunding parties and the five perceived attributes of innovation diffusion to evaluate the possibility of diffusion in crowdfunding. Employing thematic analysis, we identify two possible modes for blockchain application in crowdfunding. Results indicate the technology offers superior relative advantage and compatibility for contracting parties. Nonetheless, fundraisers and investors could have potential diffusion complexities because of limited knowledge. Platforms face uncertainties over the degree of mediation and regulatory compliance. Further, trialability and observability issues cast doubts on the potential switch. Therefore, advanced stakeholder engagement and blockchain regulatory reform is required to expedite this switch.;"Blockchain; crowdfunding; innovation; fundraisers; investors; platforms";https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3133176_code1929526.pdf?abstractid=3133176&mirid=1;https://doi.org/10.1080/09537325.2021.1991571
"Martino, Pierluigi; Bellavitis, Cristiano; DaSilva, Carlos M; ";Blockchain and initial coin offerings (ICOs): A new way of crowdfunding;Available at SSRN 3414238;;;;2019;;Today, developers, businesses and individuals increasingly are using blockchain and initial coin offerings to raise capital. These new innovations may offer to entrepreneurs and investors interesting theoretical opportunities, as well as pose strategic, regulatory and law enforcement challenges, since they may enable the change of the business models of existing players in entrepreneurial finance and push the new players even further. The objective of this study is to investigate the potential advantages and challenges of blockchain technology and ICOs, and how they are going to affect the entrepreneurial environment. In particular, in addition to provide a first overview on blockchain and ICOs in the context of entrepreneurial finance, this study also aims to provide practical contributions for regulators, entrepreneurs and investors interested in these new financial innovations, by outlining ICOs? advantages and risks, and provide a research agenda for future research in this topic.;"Blockchain; Initial Coin Offering; ICO; Cryptocurrency; Entrepreneurial Finance";https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3414238_code3597912.pdf?abstractid=3414238&mirid=1;
"Gururaj, HL; Janhavi, V; Holla, Abhishek M; Kumar, Ashwin A; Bhumika, R; Goundar, Sam; ";Decentralised application for crowdfunding using blockchain technology;International Journal of Blockchains and Cryptocurrencies;2;1;68-82;2021;Inderscience Publishers (IEL);"Crowdfunding is a way for people, businesses, and charities to raise money. It works through individuals or organisations who invest in (or donate to) crowdfunding projects in return for a potential profit or reward. Investing this way can be risky. Security is the main challenging issue in crowdfunding contracts. Using existing literature on crowdfunding and blockchain technology, they put forward a conceptual framework that can provide the solution to the problems related to crowdfunding contracts using blockchain technology. This methodology points out the potential of crowdfunding decentralised applications to lower market inefficiencies by bypassing third parties and easing trades on secondary markets. This platform eliminates the interference of the middlemen. It is highly transparent and secure. A decentralised approach to crowdfunding forfeits all fees for the investor. It also gives a share of the project to the receiver. This model establishes a flexible platform for the fundraiser to start a campaign. The funders invest the amount if they feel the project to be genuine. Once 50% of the funds are received, it will be transferred to the initiator. It establishes a peer-to-peer relationship between the investor and the receiver.
";"crowdfunding; blockchain; smart contracts; peer-to-peer network; internet";;
"Desabathina, Naga Venkata Mohit; Merugu, Suresh; Gunjan, Vinit Kumar; Kumar, Bandreddi Sunil; ";Agricultural Crowdfunding Through Blockchain;ICDSMLA 2020;;;1643-1650;2022;Springer;Farmers are the backbone of India's economy but every year there is an increase in the number of suicides in the agriculture sector. The main reason behind their suicides is the financial problems like debt, loan repayment, no security for the loan and the crowdfunding scams and frauds. In the financial sector of agriculture, there are many actors/participants involved and their transactions have to be managed. Blockchain-based agricultural crowdfunding will eradicate all the middlemen and connect the consumer to the farmer directly. Blockchain technology creates a platform between all the participants and provides a shared ledger/database to deliver an immutable and unique version of the truth among all the actors/participants in the network who don?t trust each other. Blockchain-based crowdfunding in agriculture creates a market for community members where they can financially back agriculture operations in exchange for groceries and establish a peer to peer network, with donations directly and uninterruptedly going to farmers.;"Crowdfunding; Blockchain; Agriculture; Technological interventions; Smart contracts";;https://doi.org/10.1007/978-981-16-3690-5_155
"Berawi, Mohammed Ali; Radjilun, Mohamad Khaerun Zuhry; Sari, Mustika; ";Developing Blockchain-Based Crowdfunding Model for Property Investment;International Scientific Conference on Innovations in Digital Economy;;;23-39;2020;Springer;Crowdfunding is an approach that has been widely used to raise capital from individuals to finance a venture, known for its ability to reach a large pool of new capital gathered from the crowd. Though it has been extensively applied to finance property developments in real estate industry in some countries, crowdfunding method still has some drawbacks in regard to the accountability and transparency of the platform. Hence, this study attempts to propose a crowdfunding model for property investment that takes into account blockchain technology addressing those shortcomings. Both qualitative and quantitative methods are used to achieve the objectives of this study through literature review, questionnaire surveys, benchmarking study, and expert interviews. As a result, the features of crowdfunding platform utilizing blockchain technology that can improve the accountability and transparency are determined, and the design of the operational workflow for the blockchain-based property crowdfunding platform is proposed as an alternative to the conventional crowdfunding platform, therefore addressing financial issues in property investment.;"Blockchain; Crowdfunding; Property investment; Platform features; Operational workflow";;https://doi.org/10.1007/978-3-319-67256-4_27
"Aprialim, Fiqar; Paundu, Ady Wahyudi; ";Penerapan Blockchain dengan Integrasi Smart Contract pada Sistem Crowdfunding;Jurnal RESTI (Rekayasa Sistem Dan Teknologi Informasi);5;1;148-154;2021;;The existing crowdfunding platforms still operate using centralized system. While centralized system can operate well, it requires a third party intermediary in order to operate and thus does not completely provide data security and transparency of crowdfunding activities. In addition, the existence of a third party intermediary in a crowdfunding activity also causes the existing processing costs to be expensive. Therefore, the crowdfunding system needs to be built in a decentralized manner so that it eliminates the need for third parties as intermediaries in the crowdfunding process. This study proposes a prototype of decentralized crowdfunding system using Ethereum blockchain and smart contract technology. The result of system functionality test using black box testing method shows that all functionality of the crowdfunding system can run properly while operate in decentralized architecture.;Blockchain, Crowdfunding, Ethereum, Smart Contract, Transaction;https://jurnal.iaii.or.id/index.php/RESTI/article/view/2613/378;
"Lee, Patricia H; ";Crowdfunding capital in the age of blockchain-based tokens;. John's L. Rev.;92;;833;2018;HeinOnline;To illustrate the findings, this Article proceeds like so. Part I provides a brief history of the Reg. CF exemption law and the research findings about investment crowdfunding, generally, and digital tokens, more specifically. Next, Part II provides insights on the current state of offering blockchain-based digital tokens to unsophisticated investors and the silver linings in the data. Finally, Part III provides recommendations for a path forward in Reg. CF. First, the SEC should re-evaluate its regulatory policy in light of the proliferation of blockchain-based token offerings and gaps in funding portals, and provide additional warnings to unsophisticated investors who may be taking on enhanced investment risk. The uncertainty and risk of digital tokens reliant on blockchain technology foretells a troubling high risk of investment loss, which may supplement the expected high risk of loss for startup tech companiees. Second, companies, particularly idealistic tech startups, that are considering the offer of digital tokens, should thoughtfully consider alternatives to these offerings. There remains a level of uncertainty and risk in these offerings, which could result in greater risk and liability than the alternative financing available to them. Lastly, economic development organizations should consider developing their role in attracting, designing, and implementing funding portals to provide the support that tech and other startup companies need to raise capital for their business.;Regulation Crowdfunding, digital tokens, blockchain, capital formation, safe harbor exemptions, innovation, securities offerings, investment crowdfunding;https://scholarship.law.stjohns.edu/cgi/viewcontent.cgi?article=7104&context=lawreview;
